instance_id,n_iter,alpha,k,lambda_max,seed,profit,ref_profit,optimality_gap,wall_time_s
pisinger_smac_t6_k10_n100_r10000_s1012,25,0.9868140024792,13,10.9192422210622,327741615,98541,98541,0.0,0.021380665944889188
pisinger_smac_t2_k10_n100_r10000_s1008,25,0.9868140024792,13,10.9192422210622,327741615,42502,49999,0.1499429988599772,0.0219233330572024
pisinger_smac_t6_k100_n100_r10000_s1005,25,0.9868140024792,13,10.9192422210622,327741615,984799,984835,3.6554346667208214e-05,0.39400145888794214
pisinger_smac_t3_k100_n10_r10000_s1001,25,0.9886270851438,11,10.9020479149407,327741615,536265,536305,7.45844249074687e-05,0.5710903329309076
pisinger_smac_t4_k10_n100_r10000_s1009,25,0.7878429344088,13,10.8306143561919,327741615,48839,49821,0.019710563818470122,0.019837000058032572
pisinger_smac_t2_k10_n100_r10000_s1004,26,0.7767789603577,13,10.9277309641483,327741615,48962,50201,0.024680783251329656,0.02163312502671033
pisinger_smac_t6_k10_n10_r10000_s1011,27,0.4224197172157,43,85.4047025540686,327741615,54118,76313,0.29084166524707455,0.017030624905601144
pisinger_smac_t2_k10_n10_r10000_s1009,26,0.7916721183039,13,10.838632287788,327741615,43636,50578,0.13725335125944085,0.02278895804192871
pisinger_smac_t3_k100_n100_r10000_s1009,35,0.6251536315033,47,53.221121209792,327741615,566610,567286,0.001191638785374573,1.9313519999850541
pisinger_smac_t4_k10_n100_r10000_s1001,26,0.7891730551607,13,10.9066710637526,327741615,48805,49835,0.020668205076753286,0.019385791034437716
pisinger_smac_t2_k100_n10_r10000_s1006,11,0.3149974367337,35,14.6982764141351,327741615,516501,518134,0.003151694349338202,0.8868932080222294
pisinger_smac_t1_k10_n10_r10000_s1007,27,0.7088304096959,16,31.7031293638986,327741615,76871,83074,0.07466836796109493,0.035906124976463616
pisinger_smac_t1_k10_n10_r10000_s1003,13,0.9662090611051,28,11.020723467798,327741615,91094,91094,0.0,0.01995520805940032
pisinger_smac_t3_k10_n10_r10000_s1004,35,0.0628801365533,25,92.9099723884497,327741615,43545,52482,0.17028695552760947,0.02579362504184246
pisinger_smac_t2_k10_n10_r10000_s1001,9,0.9128377150062,40,19.1659363049246,327741615,19918,54569,0.6349942274917993,0.005373041960410774
pisinger_smac_t6_k10_n100_r10000_s1009,49,0.3235144144134,50,11.1403369338565,327741615,98086,98774,0.0069653957519185215,0.021358832949772477
pisinger_smac_t1_k100_n100_r10000_s1001,13,0.5507817410951,56,41.4302793879206,327741615,976766,984426,0.007781184162141187,0.17952849995344877
pisinger_smac_t1_k100_n100_r10000_s1006,45,0.2154719458442,18,48.798900316516,327741615,980079,983565,0.0035442497445517074,0.5606927920598537
pisinger_smac_t2_k100_n10_r10000_s1012,10,0.3131118150739,21,44.7420211888865,327741615,499297,499744,0.0008944579624767881,3.0001779169542715
pisinger_smac_t1_k10_n100_r10000_s1008,45,0.9880536100245,22,23.788325362473,327741615,98231,98578,0.0035200551847268152,0.019173334003426135
pisinger_smac_t5_k10_n10_r10000_s1003,45,0.9867325636476,22,22.3263576577666,327741615,60073,62801,0.04343879874524291,0.01670349994674325
pisinger_smac_t4_k10_n10_r10000_s1001,45,0.9867325636476,22,22.3263576577666,327741615,41536,50968,0.18505729084916026,0.023256416083313525
pisinger_smac_t4_k100_n100_r10000_s1011,12,0.5777072609996,11,37.1521211841392,327741615,499706,499724,3.6019882975402425e-05,1.1794779589399695
pisinger_smac_t6_k10_n100_r10000_s1008,35,0.674043323442,20,76.387056950328,327741615,97083,98348,0.012862488306828812,0.02100008400157094
pisinger_smac_t1_k10_n10_r10000_s1006,45,0.9882839699317,23,24.8980974446724,327741615,86650,87141,0.0056345463100033275,0.024349500075913966
pisinger_smac_t2_k10_n100_r10000_s1004,41,0.7077475849397,33,0.687459347222,327741615,49493,50201,0.014103304715045516,0.02004491596017033
pisinger_smac_t2_k10_n100_r10000_s1009,46,0.9882496036038,22,28.7942113847062,327741615,41491,50005,0.17026297370262974,0.020485291024670005
pisinger_smac_t6_k10_n10_r10000_s1008,13,0.9107074414465,12,11.2555821296258,327741615,70852,72085,0.017104806825275716,0.026746374904178083
pisinger_smac_t3_k10_n100_r10000_s1009,13,0.9107074414465,12,11.2555821296258,327741615,56096,56613,0.00913217812163284,0.019552665995433927
pisinger_smac_t4_k10_n10_r10000_s1012,13,0.9107074414465,12,11.2555821296258,327741615,43358,51265,0.15423778406320102,0.032756209024228156
