instance_id,n_iter,alpha,k,lambda_max,seed,profit,ref_profit,optimality_gap,wall_time_s
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.100_seed3.json.gz,38,0.3116645770762,4,64.3388214800392,327741615,11390,11613,0.019202617755963144,2.2625208099925658
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.250_seed2.json.gz,38,0.3116645770762,4,64.3388214800392,327741615,29247,29544,0.010052802599512592,8.44801833400561
inversely_strongly/N200_M5/mckp_N200_M5_inversely_strongly_f0.500_seed3.json.gz,15,0.2212616476964,14,23.7262089952001,327741615,55166,56340,0.02083777067802627,2.542158454991295
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.750_seed2.json.gz,42,0.3534721389907,45,81.5234082232988,327741615,84577,87325,0.03146865158889207,3.5408210229943506
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.900_seed3.json.gz,15,0.2248756956667,14,23.2694286122762,327741615,100538,101759,0.011998938668815535,7.501011215004837
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.250_seed2.json.gz,38,0.0902938628879,46,91.7381116815095,327741615,24359,29544,0.1755009477389656,1.0708840919978684
inversely_strongly/N200_M5/mckp_N200_M5_inversely_strongly_f0.500_seed3.json.gz,42,0.4624118605954,15,89.9587202237796,327741615,55365,56340,0.017305644302449415,1.1260828510130523
inversely_strongly/N200_M5/mckp_N200_M5_inversely_strongly_f0.100_seed1.json.gz,13,0.8015507705004,45,80.1034384156263,327741615,8469,11794,0.28192301170086487,0.6449510710081086
inversely_strongly/N200_M5/mckp_N200_M5_inversely_strongly_f0.500_seed2.json.gz,29,0.6244012640801,32,68.9468262166104,327741615,54726,58078,0.05771548607045697,3.4723630000080448
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.500_seed1.json.gz,44,0.4471672301417,15,92.1589771765795,327741615,58207,59439,0.020727132017698817,1.0449709460081067
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.100_seed3.json.gz,37,0.4576307908684,16,89.2943085833603,327741615,10098,11613,0.1304572461896151,0.45620287499332335
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.750_seed2.json.gz,20,0.6705994161276,18,19.2829797293346,327741615,86060,87325,0.014486115087317493,1.5133824139920762
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.500_seed1.json.gz,41,0.3609192965358,31,83.2364664901738,327741615,56324,59439,0.05240666902202258,2.1851595290063415
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.750_seed2.json.gz,48,0.9745779997539,41,12.9945520366195,327741615,85928,87325,0.015997709705124534,0.6610315099969739
inversely_strongly/N200_M5/mckp_N200_M5_inversely_strongly_f0.500_seed2.json.gz,20,0.3324263513781,6,11.9397277643724,327741615,57658,58078,0.007231653982575158,1.4735124869912397
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.500_seed4.json.gz,20,0.3324263513781,6,11.9397277643724,327741615,58598,58907,0.005245556555248103,0.3172290700022131
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.500_seed1.json.gz,20,0.3324263513781,6,11.9397277643724,327741615,59001,59439,0.007368899207590976,1.5045000040117884
inversely_strongly/N200_M5/mckp_N200_M5_inversely_strongly_f0.500_seed3.json.gz,20,0.3324263513781,6,11.9397277643724,327741615,55895,56340,0.00789847355342563,3.279475147006451
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.100_seed3.json.gz,20,0.3324263513781,6,11.9397277643724,327741615,11119,11613,0.04253853440110221,1.406397240003571
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.750_seed3.json.gz,20,0.3324263513781,6,11.9397277643724,327741615,84938,85391,0.005305008724572847,16.450473917997442
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.900_seed2.json.gz,20,0.3324263513781,6,11.9397277643724,327741615,103740,104144,0.0038792441235212783,9.710631451001973
inversely_strongly/N200_M5/mckp_N200_M5_inversely_strongly_f0.100_seed1.json.gz,20,0.3324263513781,6,11.9397277643724,327741615,11424,11794,0.031371884008818046,0.43187507599941455
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.250_seed3.json.gz,20,0.3324263513781,6,11.9397277643724,327741615,28560,29004,0.015308233347124535,0.8584402150008827
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.750_seed2.json.gz,20,0.3324263513781,6,11.9397277643724,327741615,86907,87325,0.004786716289722302,2.175437065990991
inversely_strongly/N200_M5/mckp_N200_M5_inversely_strongly_f0.250_seed4.json.gz,20,0.3324263513781,6,11.9397277643724,327741615,29547,30011,0.015460997634200793,0.495819917996414
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.100_seed0.json.gz,20,0.3324263513781,6,11.9397277643724,327741615,11679,12030,0.029177057356608478,1.0782966210099403
